hostname,arrays,status,manufacturer,model,os,location,comments,master,created,last_modified
blade10-1-1,cx380,0,,,,,,0,2011-07-06,
blade7-2-13,cx380,0,,,,,,0,2011-07-06,
linuscs103,nsams2k1 nsams2k2 nsams2k4 nsams2k7,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs104,nsams2k1 nsams2k2 nsams2k4 nsams2k7,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs105,nsams2k1 nsams2k2 nsams2k4 nsams2k7,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs106,nsams2k1 nsams2k2 nsams2k4 nsams2k7,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs107,nsams2k6,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs108,nsams2k6,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs109,nsams2k6,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs110,nsams2k5,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs111,nsams2k5,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs112,nsams2k5,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs113,nsams2k5,0,Dell,poweredge R710,RHEL 5.5,222 ns rack 2.11,,0,2011-07-06,
linuscs117,nsams2k3,0,,,,,,0,2011-07-06,
linuscs118,nsams2k3,0,,,,,,0,2011-07-06,
linuscs52,cx380,0,Dell,poweredge 1950,RHEL 5.5,222 ns rack 1.6,,0,2011-07-06,
linuscs55,xyratex7,0,,,,,,0,2011-07-06,
linuscs56,cx380 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs62,gceva1 gceva2,0,,,,,,0,2011-07-06,
linuscs63,gceva1 gceva2,0,,,,,,0,2011-07-06,
linuscs64,gceva1 gceva2,0,,,,,,0,2011-07-06,
linuscs65,gceva1 gceva2,0,,,,,,0,2011-07-06,
linuscs66,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs67,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs68,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs69,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs70,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs71,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs72,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs73,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs74,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs75,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs76,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs77,gceva3 gceva4 gceva5 gceva6 gceva7 gceva8 gceva9 gceva10 gceva11,0,,,,,,0,2011-07-06,
linuscs78,gceva1 gceva2,0,,,,,,0,2011-07-06,
linuscs79,gceva1 gceva2,0,,,,,,0,2011-07-06,
linuscs84,gcxp1,0,,,,,,0,2011-07-06,
linuscs85,gcxp1,0,,,,,,0,2011-07-06,
linuscs86,gcxp2,0,,,,,,0,2011-07-06,
linuscs87,gcxp2,0,,,,,,0,2011-07-06,
linuscs88,gcxp3,0,,,,,,0,2011-07-06,
linuscs89,gcxp3,0,,,,,,0,2011-07-06,
linuscs90,nsams2k3,0,,,,,,0,2011-07-06,
linuscs91,nsams2k3,0,,,,,,0,2011-07-06,
ntap1,,0,NetApp,FAS980,,,,0,2011-07-06,
ntap10,,0,NetApp,V3140,,5301 rack EE,,,0,2011-07-06,
ntap11,,0,NetApp,V3140,,5301 rack EE,,,0,2011-07-06,
ntap2,,0,,,,,,0,2011-07-06,
ntap3,,0,NetApp,FAS980,,5301 rack EE,,,0,2011-07-06,
ntap4,,0,NetApp,FAS980,,5301 rack EE,,,0,2011-07-06,
ntap5,,0,NetApp,R200,,5301 rack EE,,,0,2011-07-06,
ntap6,,0,NetApp,FAS270,,5301 rack EE,,,0,2011-07-06,
ntap7,,0,NetApp,FAS270,,5301 rack EE,,,0,2011-07-06,
ntap8,,0,NetApp,FAS270,,5301 rack EE,,,0,2011-07-06,
ntap9,,0,NetApp,FAS270,,5301 rack EE,,,0,2011-07-06,
